name,start_year,end_year,hall_of_fame,status,career_length,sport
David Aardsma,2004,2015,False,True,12.0,Baseball
Henry Aaron,1954,1976,True,True,23.0,Baseball
Tommie Aaron,1962,1971,False,True,10.0,Baseball
Don Aase,1977,1990,False,True,14.0,Baseball
Andy Abad,2001,2006,False,True,6.0,Baseball
Fernando Abad,2010,2023,False,True,14.0,Baseball
John Abadie,1875,1875,False,True,1.0,Baseball
Ed Abbaticchio,1897,1910,False,True,14.0,Baseball
Bert Abbey,1892,1896,False,True,5.0,Baseball
Charlie Abbey,1893,1897,False,True,5.0,Baseball
Andrew Abbott,2023,2024,False,False,2.0,Baseball
Cory Abbott,2021,2023,False,True,3.0,Baseball
Dan Abbott,1890,1890,False,True,1.0,Baseball
Fred Abbott,1903,1905,False,True,3.0,Baseball
Glenn Abbott,1973,1984,False,True,12.0,Baseball
Jeff Abbott,1997,2001,False,True,5.0,Baseball
Jim Abbott,1989,1999,False,True,11.0,Baseball
Kurt Abbott,1993,2001,False,True,9.0,Baseball
Kyle Abbott,1991,1996,False,True,6.0,Baseball
Ody Abbott,1910,1910,False,True,1.0,Baseball
Paul Abbott,1990,2004,False,True,15.0,Baseball
Al Aber,1950,1957,False,True,8.0,Baseball
Frank Abercrombie,1871,1871,False,True,1.0,Baseball
Reggie Abercrombie,2006,2008,False,True,3.0,Baseball
Bill Abernathie,1952,1952,False,True,1.0,Baseball
Brent Abernathy,2001,2005,False,True,5.0,Baseball
James Abernathy,1945,1948,False,True,4.0,Baseball
Tal Abernathy,1942,1944,False,True,3.0,Baseball
Ted Abernathy,1955,1972,False,True,18.0,Baseball
Woody Abernathy,1946,1947,False,True,2.0,Baseball
Cliff Aberson,1947,1949,False,True,3.0,Baseball
Harry Ables,1905,1911,False,True,7.0,Baseball
Shawn Abner,1987,1992,False,True,6.0,Baseball
Cal Abrams,1949,1956,False,True,8.0,Baseball
CJ Abrams,2022,2024,False,False,3.0,Baseball
George Abrams,1923,1923,False,True,1.0,Baseball
Johnny Abrego,1985,1985,False,True,1.0,Baseball
Albert Abreu,2020,2023,False,True,4.0,Baseball
Bobby Abreu,1996,2014,False,True,19.0,Baseball
Bryan Abreu,2019,2024,False,False,6.0,Baseball
Eufemio Abreu,1920,1925,False,True,6.0,Baseball
Joe Abreu,1942,1942,False,True,1.0,Baseball
